Nombre,Editorial,Año,Suma de Ventas Millones
.hack//G.U. Vol.1//Rebirth,Namco Bandai Games,2006,0.17
.hack//G.U. Vol.2//Reminisce,Namco Bandai Games,2006,0.23
.hack//G.U. Vol.2//Reminisce (jp sales),Namco Bandai Games,2006,0.16
.hack//G.U. Vol.3//Redemption,Namco Bandai Games,2007,0.17
.hack//Infection Part 1,Atari,2002,1.2599999999999998
.hack//Link,Namco Bandai Games,2010,0.14
.hack//Mutation Part 2,Atari,2002,0.6700000000000002
.hack//Outbreak Part 3,Atari,2002,0.4600000000000001
.hack//Quarantine Part 4: The Final Chapter,Atari,2003,0.18
.hack: Sekai no Mukou ni + Versus,Namco Bandai Games,2012,0.03
[Prototype 2],Activision,2012,1.6500000000000001
[Prototype],Activision,2009,2.5599999999999996
007 Racing,Electronic Arts,2000,0.53
007: Quantum of Solace,Activision,2008,3.9099999999999997
007: The World is not Enough,Electronic Arts,2000,2.48
007: Tomorrow Never Dies,Electronic Arts,1999,3.21
1 vs. 100,DSI Games,2008,0.09
1/2 Summer +,Kaga Create,2013,0.01
10 Minute Solution,Activision,2010,0.08
100 All-Time Favorites,Ubisoft,2009,0.51
100 Classic Books,Nintendo,2008,0.67
100 Classic Games,Rondomedia,2011,0.03
1000 Cooking Recipes from ELLE Ã  table,Nintendo,2010,0.02
1001 Touch Games,Avanquest,2011,0.33
101-in-1 Explosive Megamix,Nordcurrent,2008,0.2
101-in-1 Party Megamix Wii,Nordcurrent,2009,0.22
101-in-1 Sports Megamix,Nordcurrent,2010,0.09
101-in-1 Sports Party Megamix,Nordcurrent,2010,0.02
1080Â°: TenEighty Snowboarding,Nintendo,1998,2.0399999999999996
11eyes: CrossOver,5pb,2009,0.02
11eyes: CrossOver,5pb,2010,0.02
12Riven: The Psi-Climinal of Integral,CyberFront,2008,0.04
12-Sai. Honto no Kimochi,Happinet,2014,0.07
12-Sai. Koisuru Diary,Happinet,2016,0.04
15 Days,DTP Entertainment,2009,0.01
1701 A.D.,Deep Silver,2006,0.3
18 Wheeler: American Pro Trucker,Acclaim Entertainment,2001,0.39999999999999997
18 Wheeler: American Pro Trucker,Acclaim Entertainment,2002,0.11
18 Wheels of Steel: Extreme Trucker,Rondomedia,2009,0.02
18 Wheels of Steel: Extreme Trucker 2,Rondomedia,2011,0.11
187: Ride or Die,Ubisoft,2005,0.21000000000000002
1942,Capcom,1985,1
2 Games in 1 Double Pack: Hot Wheels Velocity X / Hot Wheels World Race,THQ,2005,0.12
2 Games in 1 Double Pack: The Incredibles / Finding Nemo: The Continuing Adventures,THQ,2007,1.76
2 Games in 1: Disney Princess & The Lion King,THQ,2004,1.74
2 Games in 1: Disney's Brother Bear / The Lion King 1 1/2,THQ,2005,0.31
2 Games in 1: Sonic Advance & ChuChu Rocket!,THQ,2005,1.83
2 Games in 1: Sonic Battle & ChuChu Rocket!,THQ,2005,0.61
2 Games in 1: Sonic Pinball Party & Columns Crown,Sega,2005,0.06
2 Games in 1: SpongeBob SquarePants: SuperSponge & Rugrats Go Wild,THQ,2005,0.46
2 in 1 Combo Pack: Sonic Heroes / Super Monkey Ball Deluxe,Sega,2004,0.53
2 in 1 Combo Pack: Sonic Heroes / Super Monkey Ball Deluxe,Ubisoft,2013,0.11
2002 FIFA World Cup,Electronic Arts,2002,0.8400000000000001
2010 FIFA World Cup South Africa,Electronic Arts,2010,2.9999999999999996
2014 FIFA World Cup Brazil,Electronic Arts,2014,1.17
24: The Game,Sony Computer Entertainment,2006,0.31
25 to Life,Eidos Interactive,2006,0.5900000000000001
2-in-1 Game Pack: Spider-Man & Spider-Man 2,Activision,2005,0.08
2Xtreme,Sony Computer Entertainment,1996,1.4
"3 in 1: Solitaire, Mahjong & Tangram",Deep Silver,2010,0.08
300: March to Glory,Warner Bros. Interactive Entertainment,2007,0.41000000000000003
3D Baseball,BMG Interactive Entertainment,1996,0.03
3D Dot Game Heroes,SouthPeak Games,2009,0.58
3D Lemmings,Psygnosis,1995,0.05
3D Tank Warfare Simulator Panzer Front,Avalon Interactive,1999,0.11
3DS Classic Collection,Sega,2016,0.02
3rd Super Robot Wars Z Jigoku Hen,Namco Bandai Games,2014,0.42000000000000004
3rd Super Robot Wars Z: Tengoku-Hen,Namco Bandai Games,2015,0.33999999999999997
3Xtreme,989 Studios,1999,0.9
4 Elements,Mastertronic,2009,0.05
4 Game Fun Pack: Monopoly / Boggle / Yahtzee / Battleship,Atari,2005,0.12
4 Nin uchi Mahjong,Nintendo,1984,1.45
40 Winks,GT Interactive,1999,0.31
428: Fuusa Sareta Shibuya de,Sega,2008,0.13
428: Fuusa Sareta Shibuya de,Spike,2009,0.06
4x4 EVO 2,Gathering of Developers,2001,0.24
4x4 EVO 2,Vivendi Games,2002,0.14
4x4 Evolution,Gathering of Developers,2001,0.32
50 Cent: Blood on the Sand,THQ,2009,0.41000000000000003
50 Cent: Bulletproof,Vivendi Games,2005,2.22
50 Cent: Bulletproof,Vivendi Games,2006,0.09
50 Classic Games,Avanquest Software,2012,0.02
50 Classic Games,Destineer,2009,0.56
